 TICKER, CODE, EXCHANGE, NAME
JAZZ,J7Z,F,Jazz Pharmaceuticals plc
JAZZ,J7Z,BE,JAZZ PHARMACEUTICAL
DAR,43D,F,Darling Ingredients Inc
FIVE,6F1,F,Five Below Inc
CCJ,CCO,TO,Cameco Corp
CCJ,CCO,F,Cameco Corp
LAMR,6LA,XETRA,Lamar Advertising Company (REIT)
LAMR,6LA,F,Lamar Advertising Company
ARCC,AFC,US,Allied Capital Corporation NT 6.875 2047
BLDR,B1F,F,Builders FirstSource Inc
RGA,RZA,US,Reinsurance Group of America Inc
RGA,RZB,US,Reinsurance Group of America Inc
BWA,BWA,F,BORGWARNER - Frankfurt Stock Exchang
AR,7A6,F,Antero Resources Corporation
JBL,JBL,F,Jabil Inc
HII,HI4,F,Huntington Ingalls Industries Inc
UHS,UHS,F,Universal Health Services Inc
WRK,1WR,F,WestRock Co
WRK,1WR,XETRA,WestRock Company
CZR,2ER,F,Eldorado Resorts Inc
LBTYA,1LG,F,Liberty Global PLC
LBTYA,LBTYB,US,Liberty Global PLC Class B
LBTYA,LBTYK,US,Liberty Global PLC Class C
TFII,9TF,F,TRANSFORCE
TFII,TFII,TO,TFI International Inc
AOS,3SM,F,Smith AO Corporation
AAP,AWN,F,Advance Auto Parts Inc
PNW,PNW,F,PINNACLE WEST CAP - Frankfurt Stock Exchang
LII,LXI,F,Lennox International Inc
AU,AGG,AU,AngloGold Ashanti Ltd DRC
AAL,A1G,XETRA,American Airlines Group Inc
AAL,A1G,F,American Airlines Group
AAL,AALL34,SA,American Airlines Group Inc
UNM,UNMA,US,Unum Group
OTEX,OTEX,TO,Open Text Corp
RHI,RHI,F,Red Hat Inc
AA,185,XETRA,ALCOA CORP. O.N.
JEF,LN3,F,Jefferies Financial Group Inc
UGI,UGI,F,Sugi Holdings Co.Ltd
WHR,WHR,XETRA,Whirlpool Corp.
WHR,WHR,F,Whirlpool Corporation
CHE,CHE,F,China Huarong Asset Management Co. Ltd
BERY,BP0,F,Berry Global Group Inc
