 TICKER, NAME, TITLE, YEAR BORN
ALA-PH,"Mr. Randy W. Toone B.Sc., P.Eng",Exec. VP & Pres of Midstream,NA
ALA-PH,"Mr. Donald M. Jenkins B.Sc., M.B.A.",Exec. VP and Pres of Utilities & Washington Gas Light Company,1973
ALA-PH,Mr. Jon  Morrison,Sr. VP of Investor Relations & Corp. Devel.,NA
ALA-PH,"Mr. Bradley B. Grant Esq., B.Comm, LLB, MBA",Exec. VP & Chief Legal Officer,NA
ALA-PH,Mr. Kent E. Stout,Sr. VP of Organizational Devel.,NA
ALA-PH,Mr. Joy Sumanan Thakur,Sr. VP of Commercial & Bus. Operations,NA
ALA-PH,Mr. James  Shelford,Sr. VP of Commercial,1984
ALC,Mr. Gregg A. Ruhl,Pres & CEO,NA
ALC,"Mr. Peter D. Winkley C.A., CPA, CA, CPA",Exec. VP & CFO,NA
ALC,Mr. Jeffrey M. DeRosario P.Eng.,Vice-Pres of Marketing,NA
ALC,Mr. J. Wesley Newton L.L.B.,Exec. VP of Strategy & Bus. Devel. and Sec.,NA
ALC,Mr. Barton R. Reynolds,Exec. VP of Operations & Technical,NA
ALC,"Mr. Christopher A. L. Lazarz C.A., CPA, CPA, CA",Vice-Pres of Corp. Fin.,NA
ALC,Mr. Fredrik  Hanson,Vice -Pres of Fin. & Admin.,NA
ALC,Ms. Cathy  Smith,Vice-Pres of HR,NA
ALC,Mr. Steve  Wright,Sr. Vice-Pres of Technical,NA
ALC,Mr. Thomas G. Siklos,VP of Real Estate,NA
ALS,"Mr. John A. Baker LL.B., Q.C.",Co-Founder & Exec. Chairman,1954
ALS,Mr. Brian Francis Dalton,"Co-Founder, Pres, CEO & Director",1973
ALS,"Mr. Benjamin Gerard Lewis B.Comm., CA, CPA",Chief Financial Officer,1968
ALS,Mr. Chad S. Wells B.Sc.,VP of Bus. Devel. & Corp. Sec.,1973
ALS,"Mr. Stephen Lawrence Winter M.Sc., Ph.D., P.Geo",VP of Exploration,NA
ALS,"Ms. Flora  Wood B.A., M.A.",VP of Investor Relations & Sustainability and Company Sec.,NA
ALS,Mr. Mark  Raguz,VP of Corp. Devel.,1986
ALS,"Sandra  Lewis CPA, CGA",Controller,NA
ALS,Ms. Wanda  Hearn-Dyke,Exec. Assistant,NA
ALS,"Stephanie  Hussey CPA, CA",Director of Fin. - Royalty Division,NA
ALYA,Mr. Paul  Raymond,"Pres, CEO & Director",1964
ALYA,Mr. Claude  Thibault,Chief Financial Officer,1965
ALYA,Mr. Claude  Rousseau,Sr. VP & COO,1962
ALYA,Ms. Nathalie  Forcier,Chief Legal Officer & Corp. Sec.,1976
