 TICKER,DATE,PERIOD,GROWTH,EARNINGS ESTIMATE AVG,EARNINGS ESTIMATE LOW,EARNINGS ESTIMATE HIGH,EARNINGS ESTIMATE YEAR AGO EPS,EARNINGS ESTIMATE NUMBER OF ANALYSTS,EARNINGS ESTIMATE GROWTH,REVENUE ESTIMATE AVG,REVENUE ESTIMATE LOW,REVENUE ESTIMATE HIGH,REVENUE ESTIMATE YEAR AGO EPS,REVENUE ESTIMATE NUMBER OF ANALYSTS,REVENUE ESTIMATE GROWTH,EPS TREND CURRENT,EPS TREND7DAYS AGO,EPS TREND30DAYS AGO,EPS TREND60DAYS AGO,EPS TREND90DAYS AGO,EPS REVISIONS UP LAST7DAYS,EPS REVISIONS UP LAST30DAYS,EPS REVISIONS DOWN LAST7DAYS,EPS REVISIONS DOWN LAST30DAYS
SALASAR,2018-09-30,+1q,,0.0000,0.0000,0.0000,,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
SALASAR,2018-06-30,0q,,0.0000,0.0000,0.0000,,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
SANDHAR,2024-03-31,+1y,1.3440,21.1000,21.1000,21.1000,9.0000,1.0000,1.3440,34024000000.00,34024000000.00,34024000000.00,,1.00,0.1870,21.1000,21.1000,21.1000,20.2000,20.2000,0.0000,0.0000,,0.0000
SANDHAR,2023-03-31,0y,-0.0500,9.0000,9.0000,9.0000,9.4700,1.0000,-0.0500,28654000000.00,28654000000.00,28654000000.00,,1.00,0.2330,9.0000,9.0000,9.0000,12.9000,12.9000,0.0000,0.0000,,0.0000
SANDHAR,2022-12-31,0q,,0.0000,0.0000,0.0000,,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000
SANDHAR,2022-09-30,0q,,0.0000,0.0000,0.0000,,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000
SANDHAR,2022-06-30,0q,,0.0000,0.0000,0.0000,,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000
SANDHAR,2022-03-31,0y,,8.4000,8.4000,8.4000,,1.0000,,22668000000.00,22668000000.00,22668000000.00,,1.00,,8.4000,8.4000,8.4000,8.4000,8.4000,0.0000,0.0000,1.0000,0.0000
SANDHAR,2021-12-31,0q,,0.0000,0.0000,0.0000,,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SANDHAR,2021-09-30,0q,,5.3000,5.3000,5.3000,,1.0000,,23530000000.00,23530000000.00,23530000000.00,,1.00,0.2090,5.3000,5.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
SANDHAR,2020-03-31,+1y,,0.0000,0.0000,0.0000,,0.0000,,27745000000.00,27745000000.00,27745000000.00,,1.00,0.1790,0.0000,26.2000,26.2000,26.2000,26.2000,0.0000,0.0000,0.0000,0.0000
SANDHAR,2019-09-30,+1q,,0.0000,0.0000,0.0000,,0.0000,,23530000000.00,23530000000.00,23530000000.00,,1.00,0.2090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SANDHAR,2019-06-30,0q,,0.0000,0.0000,0.0000,,0.0000,,23530000000.00,23530000000.00,23530000000.00,,1.00,0.2090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SANDHAR,2019-03-31,0y,,0.0000,0.0000,0.0000,,0.0000,,23530000000.00,23530000000.00,23530000000.00,,1.00,0.2090,0.0000,18.7000,18.7000,18.7000,18.7000,0.0000,1.0000,0.0000,0.0000
SANGHIIND,2020-03-31,+1y,-0.2540,6.3400,2.4000,9.8000,8.5000,8.0000,-0.2540,14065300000.00,12384300000.00,16119200000.00,,8.00,0.1670,6.3400,6.3400,6.5100,5.9400,6.5900,0.0000,0.0000,0.0000,0.0000
SANGHIIND,2019-03-31,0y,1.0530,8.5000,8.5000,8.5000,4.1400,1.0000,1.0530,12057000000.00,12057000000.00,12057000000.00,,1.00,0.1750,8.5000,8.5000,8.5000,5.2400,5.6000,0.0000,0.0000,0.0000,0.0000
SANGHIIND,2018-09-30,+1q,,0.0000,0.0000,0.0000,0.5000,0.0000,,2192000000.00,2192000000.00,2192000000.00,,1.00,0.0660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SANGHIIND,2018-06-30,0q,-0.0760,1.3300,1.3300,1.3300,1.4400,1.0000,-0.0760,2759000000.00,2759000000.00,2759000000.00,,1.00,-0.0400,1.3300,1.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SANOFI,2023-12-31,+1y,0.0970,262.1200,243.6000,287.0000,238.9900,8.0000,0.0970,30276400000.00,28685000000.00,31567000000.00,,8.00,0.0800,262.1200,262.1200,262.1200,263.3700,266.7700,0.0000,0.0000,,0.0000
SANOFI,2022-12-31,0y,0.2090,238.9900,225.6000,261.0000,197.6500,8.0000,0.2090,28036800000.00,26083000000.00,28844000000.00,,8.00,-0.0520,238.9900,238.9900,238.9900,237.5500,243.0400,0.0000,0.0000,,0.0000
SANOFI,2022-09-30,+1q,,0.0000,0.0000,0.0000,,0.0000,,0.00,0.00,0.00,,0.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000
SANOFI,2022-06-30,0q,,0.0000,0.0000,0.0000,,0.0000,,7102000000.00,7102000000.00,7102000000.00,,1.00,-0.1000,0.0000,66.4000,66.4000,66.4000,66.4000,0.0000,0.0000,,0.0000
SANOFI,2018-12-31,+1y,0.2020,160.6000,160.6000,160.6000,133.6000,1.0000,0.2020,29221000000.00,29221000000.00,29221000000.00,,1.00,0.1290,160.6000,160.6000,160.6000,160.6000,160.6000,0.0000,0.0000,0.0000,0.0000
SANOFI,2017-12-31,0y,,133.6000,133.6000,133.6000,,1.0000,,25879000000.00,25879000000.00,25879000000.00,,1.00,,133.6000,133.6000,133.6000,133.6000,133.6000,0.0000,0.0000,0.0000,0.0000
SANOFI,2017-06-30,+1q,,0.0000,0.0000,0.0000,37.0900,0.0000,,5558000000.00,5031000000.00,7001000000.00,,4.00,-0.0170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SANOFI,2017-03-31,0q,,0.0000,0.0000,0.0000,35.0400,0.0000,,0.00,6020000000.00,6020000000.00,,1.00,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SANSERA,2024-03-31,+1y,0.4560,46.0100,38.8000,52.3400,31.6000,4.0000,0.4560,28772500000.00,26283000000.00,30758000000.00,,4.00,0.2160,46.0100,46.0100,46.0100,48.6400,48.6400,0.0000,0.0000,,0.0000
