 TICKER,DATE,EPS ACTUAL
FCONSUMER,2022-12-31,0
FCONSUMER,2018-03-31,-0.04
FDC,2022-12-31,1.65
FDC,2016-03-31,2.15
FEDERALBNK,2022-12-31,4.48
FEDERALBNK,2018-03-31,4.61
FEDERALBNK,2017-03-31,1.46
FIBERWEB,2022-12-31,0
FIEMIND,2022-12-31,0
FIEMIND,2018-03-31,35.89
FILATEX,2022-12-31,1.65
FINCABLES,2022-12-31,11.98
FINCABLES,2018-03-31,23.4
FINEORG,2022-12-31,16.27
FINOPB,2022-12-31,0
FINPIPE,2022-12-31,8.26
FINPIPE,2016-03-31,16.84
FLFL,2022-12-31,1.49
FLFL,2018-03-31,6.58
FLUOROCHEM,2022-12-31,0
FMGOETZE,2022-12-31,0
FOODSIN,2022-12-31,0
FORCEMOT,2022-12-31,0
FORTIS,2022-12-31,4.33
FORTIS,2022-03-31,3.75
FORTIS,2018-03-31,-1.4
FORTIS,2017-03-31,5.8
FOSECOIND,2022-12-31,0
FRETAIL,2018-09-30,6.53
FRETAIL,2018-03-31,12.65
FRETAIL,2017-03-31,2.61
FSC,2022-12-31,0
FSL,2022-12-31,3.05
FSL,2022-03-31,3.8
FSL,2018-03-31,4.75
FSL,2017-03-31,1.97
GABRIEL,2022-12-31,1.52
GAEL,2022-12-31,14.04
GAEL,2021-03-31,5.16
GAEL,2018-03-31,12.39
GAEL,2017-03-31,2.47
GAIL,2022-12-31,6.72
GAIL,2022-03-31,35.85
GAIL,2018-03-31,20.49
GAIL,2017-03-31,10.46
GALAXYSURF,2022-12-31,0
GANECOS,2022-12-31,12.95
GANECOS,2017-03-31,8.37
GANESHBE,2022-12-31,0
GANESHHOUC,2022-12-31,0
GANGAFORGE,2022-09-30,0.0209
GANGAFORGE,2022-03-31,0.0974
GARFIBRES,2022-12-31,0
GATEWAY,2022-09-30,1.19
GATI,2022-12-31,2.01
GAYAPROJ,2022-12-31,0
GEECEE,2022-12-31,0
GEEKAYWIRE,2022-09-30,5.565
GEEKAYWIRE,2022-03-31,8.6125
GEEKAYWIRE,2021-03-31,6.0306
GENCON,2022-12-31,0
GENESYS,2018-06-30,1.35
GENESYS,2018-03-31,6.09
GENUSPAPER,2022-12-31,0
GENUSPAPER,2018-03-31,0.14
GENUSPOWER,2022-12-31,0
GEPIL,2022-12-31,0
GESHIP,2022-12-31,0
GESHIP,2018-03-31,10.6
GESHIP,2017-03-31,21.66
GFLLIMITED,2022-12-31,24.66
GHCL,2022-12-31,21.88
GHCL,2022-03-31,21.88
GHCL,2021-03-31,35.15
GHCL,2018-03-31,29.07
GICHSGFIN,2017-12-31,23.13
GICHSGFIN,2017-03-31,8.66
GICRE,2022-12-31,0
GILLANDERS,2022-12-31,0
GILLETTE,2022-12-31,0
GIPCL,2022-12-31,0
GIPCL,2018-03-31,16.16
GIPCL,2017-03-31,8.18
GISOLUTION,2022-12-31,0
GLAND,2022-09-30,28.57
GLAND,2022-03-31,52.35
GLAXO,2022-12-31,18.43
GLAXO,2022-03-31,119.74
GLAXO,2017-03-31,14.42
GLENMARK,2022-12-31,27.87
GLENMARK,2018-03-31,28.08
GLOBALVECT,2022-12-31,0
GLOBUSSPR,2022-12-31,0
GLS,2022-09-30,36.06
GMBREW,2022-12-31,10.63
GMDCLTD,2022-12-31,10.85
GMDCLTD,2022-03-31,11.53
GMDCLTD,2018-03-31,13.66
GMDCLTD,2017-03-31,4.29
GMMPFAUDLR,2022-12-31,0
GMRINFRA,2022-12-31,0
GNA,2022-12-31,4.97
GNFC,2022-12-31,25.35
GNFC,2017-03-31,-3.46
GOACARBON,2022-12-31,0
GOCLCORP,2022-12-31,0
GODHA,2022-09-30,0
GODREJAGRO,2022-12-31,0
GODREJAGRO,2018-03-31,1.27
GODREJCP,2022-12-31,11.2
GODREJCP,2018-03-31,15.16
GODREJCP,2017-03-31,5.62
GODREJIND,2022-12-31,0
GODREJPROP,2022-12-31,3.07
GODREJPROP,2018-03-31,10.85
GOKEX,2022-12-31,0
GOLDIAM,2022-12-31,0
GOODLUCK,2022-12-31,0
GOODYEAR,2022-12-31,0
GPIL,2022-12-31,0
GPPL,2022-12-31,0
GPPL,2022-03-31,6.22
GPPL,2018-03-31,4.09
GPPL,2017-03-31,1.37
GRANULES,2022-12-31,0
GRAPHITE,2022-12-31,0
GRASIM,2022-12-31,22.19
GRASIM,2018-03-31,45.7
GRASIM,2017-03-31,13.84
GRAVITA,2018-03-31,3.04
GREAVESCOT,2022-12-31,0
GREENLAM,2022-12-31,0
GREENPANEL,2022-12-31,0
GREENPLY,2022-12-31,0
GREENPLY,2018-03-31,11.06
GRINDWELL,2022-12-31,0
GRINFRA,2022-06-30,41.87
GRINFRA,2022-03-31,63.3
GRMOVER,2022-12-31,0
GROBTEA,2022-09-30,0
GRSE,2022-12-31,10.26
GRSE,2022-03-31,15.39
GRWRHITECH,2022-12-31,0
GSFC,2022-12-31,0
GSFC,2022-03-31,22.42
GSFC,2018-03-31,9.44
GSFC,2017-03-31,3.94
GSPL,2022-12-31,4.17
GSPL,2022-03-31,22.08
GSPL,2018-03-31,11.85
GSPL,2017-03-31,4.38
GTL,2022-12-31,0
GTLINFRA,2022-12-31,0
GTPL,2022-12-31,0
GTPL,2018-03-31,0.78
GUFICBIO,2022-12-31,0
GUJALKALI,2022-12-31,28.27
GUJALKALI,2017-03-31,11.86
GUJAPOLLO,2022-12-31,0
GUJGASLTD,2022-12-31,6.92
GULFOILLUB,2022-12-31,0
GULFOILLUB,2018-03-31,31.65
GULFPETRO,2022-12-31,0
GULPOLY,2022-12-31,0
HAL,2022-12-31,18.55
HAL,2022-03-31,146.09
HAL,2021-03-31,48.44
HAPPSTMNDS,2022-12-31,0
HATHWAY,2022-12-31,0.1
HATHWAY,2018-03-31,0.34
HATHWAY,2017-03-31,-1.32
HATSUN,2022-12-31,2.51
HAVELLS,2022-12-31,6.85
HAVELLS,2022-03-31,21.56
HAVELLS,2018-03-31,11.21
HAVELLS,2017-03-31,4.9
HBLPOWER,2022-12-31,0
HCC,2022-12-31,0.25
HCC,2017-03-31,0.56
HCG,2022-12-31,0
HCG,2018-03-31,1.12
HCL-INSYS,2022-12-31,0
HCLTECH,2022-12-31,25
HCLTECH,2022-03-31,67.021
HCLTECH,2019-03-31,54.3478
HCLTECH,2018-03-31,62.13
HCLTECH,2017-03-31,39.0316
HCLTECH,2016-03-31,32.8687
HCLTECH,2014-03-31,20.3329
HCLTECH,2013-03-31,13.2796
HCLTECH,2012-03-31,7.7928
HCLTECH,2011-03-31,5.5308
HCLTECH,2010-03-31,4.7122
