 TICKER,DATE,DATE FORMATTED,SHARES MLN,SHARES
UNH,1992,1992-12-31,1088.5714,1088571400
UNH,1991,1991-12-31,1000.0000,1000000000
UNH,1990,1990-12-31,891.4286,891428600
UNH,1989,1989-12-31,670.0000,670000000
UNH,1988,1988-12-31,460.0000,460000000
UNH,1987,1987-12-31,511.6480,511648000
UNH,1986,1986-12-31,488.1600,488160000
UNH,1985,1985-12-31,400.0000,400000000
JNJ,2022,2022-12-31,2661.3000,2661300000
JNJ,2021,2021-12-31,2670.2000,2670200000
JNJ,2020,2020-12-31,2669.2000,2669200000
JNJ,2019,2019-12-31,2669.1000,2669100000
JNJ,2018,2018-12-31,2724.0000,2724000000
JNJ,2017,2017-12-31,2684.9000,2684900000
JNJ,2016,2016-12-31,2764.5000,2764500000
JNJ,2015,2015-12-31,2803.3000,2803300000
JNJ,2014,2014-12-31,2845.3000,2845300000
JNJ,2013,2013-12-31,2872.0000,2872000000
JNJ,2012,2012-12-31,2833.4000,2833400000
JNJ,2011,2011-12-31,2769.0000,2769000000
JNJ,2010,2010-12-31,2782.0000,2782000000
JNJ,2009,2009-12-31,2797.0000,2797000000
JNJ,2008,2008-12-31,2802.0000,2802000000
JNJ,2007,2007-12-31,2883.0000,2883000000
JNJ,2006,2006-12-31,2948.0000,2948000000
JNJ,2005,2005-12-31,3015.0000,3015000000
JNJ,2004,2004-12-31,3014.0000,3014000000
JNJ,2003,2003-12-31,2990.0000,2990000000
JNJ,2002,2002-12-31,3005.0000,3005000000
JNJ,2001,2001-12-31,3042.0000,3042000000
JNJ,2000,2000-12-31,3113.0000,3113000000
JNJ,1999,1999-12-31,3034.0000,3034000000
JNJ,1998,1998-12-31,3282.0000,3282000000
JNJ,1997,1997-12-31,3333.0000,3333000000
JNJ,1996,1996-12-31,2820.0000,2820000000
JNJ,1995,1995-12-31,2802.0000,2802000000
JNJ,1994,1994-12-31,2732.0000,2732000000
JNJ,1993,1993-12-31,2594.2857,2594285700
JNJ,1992,1992-12-31,2575.7576,2575757600
JNJ,1991,1991-12-31,2592.8571,2592857100
JNJ,1990,1990-12-31,2616.6667,2616666700
JNJ,1989,1989-12-31,2650.0000,2650000000
JNJ,1988,1988-12-31,2737.1680,2737168000
JNJ,1987,1987-12-31,2762.9760,2762976000
JNJ,1986,1986-12-31,2844.9920,2844992000
JNJ,1985,1985-12-31,2926.9120,2926912000
XOM,2022,2022-12-31,4200.8547,4200854700
XOM,2021,2021-12-31,4275.0000,4275000000
XOM,2020,2020-12-31,4272.0000,4272000000
